greenhouse_id,crop_type,variety,planting_date,harvest_date,days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,soil_pH,yield_kg_per_m2
3,Tomato,Roma,23-05-23,16-08-23,85,23.4,21.8,25.3,80.6,734,36000,15.5,9.1,203,52,190,0.7,6.7,17.57
2,Pepper,Habanero,21-08-23,18-11-23,89,20.6,18.5,23.7,52.5,707,36723,13.9,5.8,149,58,146,2.9,,7.66
5,Tomato,Heirloom,22-12-23,07-03-24,76,,,,,,,10,9.1,249,55,193,1.5,7.1,14.2
5,Lettuce,Romaine,06-06-23,24-07-23,48,19,17.1,20.3,63.9,788,39696,15.9,5.6,99,43,109,0.7,6.6,3.57
4,Tomato,Beefsteak,06-07-23,03-10-23,89,23.6,20.5,26.2,81.8,695,34189,15.9,8,198,73,193,3.7,6.4,15.94
4,Pepper,Jalapeno,29-04-23,25-07-23,87,25.9,23.7,28.1,69.2,753,37420,14.5,8.7,170,56,157,0.2,7,10.37
1,Tomato,Heirloom,03-09-23,27-11-23,85,25.8,23.7,27.6,65.4,893,26423,13,6.6,185,83,245,0.8,7.3,15.22
3,Tomato,Beefsteak,30-08-23,10-11-23,72,26.5,24.5,28.7,72.3,715,35822,13.4,8.1,181,67,224,0.9,5.4,18.86
4,Lettuce,Romaine,03-06-23,12-07-23,39,19.3,17.5,21.3,62.5,770,39489,15.8,5.8,,,,0,6.3,10.52
3,Tomato,Cherry,14-05-23,15-07-23,62,22,20.4,23.6,81.4,827,38453,15.2,4,224,52,207,2.6,6.3,22.41
5,Tomato,Beefsteak,23-05-23,16-08-23,85,23.8,22.3,24.8,60.1,754,43884,15.5,8.5,250,92,213,0,7,17.77
3,Tomato,Roma,16-05-23,24-07-23,69,21.7,20.7,23.1,74.3,884,35634,15.3,6.2,201,103,151,1.9,6.9,20.72
4,Tomato,Heirloom,18-10-23,17-12-23,60,21.5,19.7,23.2,83.4,645,25766,10.1,6.3,162,105,240,5.1,5.7,15.79
4,Tomato,Heirloom,27-07-23,11-10-23,76,23.5,20.4,26,84.6,877,32701,15.2,8,170,113,225,1.8,7,13.42
5,Tomato,Cherry,20-10-23,08-01-24,80,23,21.2,24.7,70.6,893,23881,10,7.1,161,91,173,1.6,6.4,14.63
4,Tomato,Beefsteak,07-01-23,05-04-23,88,26.9,25.4,30.3,74.6,1019,20243,10,6.2,238,120,202,0.4,6.3,17.19
2,Tomato,Beefsteak,12-02-23,06-05-23,83,27.7,26.1,28.7,63.2,953,29707,10,11.1,227,118,239,2.9,6.8,16.31
2,Cucumber,Pickling,12-06-23,14-08-23,63,24.6,23.6,27.2,76.2,895,29128,16,6.2,199,78,183,2,5.5,12.74
2,Lettuce,Romaine,09-10-23,20-11-23,42,19.1,17.4,20.4,58.2,758,12872,10.7,4.4,138,61,129,4.5,6.5,6.74
4,Tomato,Heirloom,16-01-23,30-03-23,73,28.9,25.8,31.1,75.2,820,24114,10,8.9,,,,0,7.1,7.93
2,Tomato,Beefsteak,21-11-23,11-02-24,82,22.9,20,24.8,81.4,864,16097,10,5.5,169,112,191,0.5,5.7,17.17
1,Cucumber,Pickling,24-02-23,25-04-23,60,21,19.4,23.2,73.1,845,30943,10.3,5.6,159,86,156,1.7,6.4,13.04
4,Tomato,Cherry,25-03-23,13-06-23,80,26.1,24.9,27.2,71.9,686,25994,12.3,8.4,245,60,183,2.6,6.7,16.79
5,Tomato,Cherry,02-12-23,06-02-24,66,24.9,23.8,26.2,73.3,932,17208,10,4.1,210,51,159,0,5.9,21.42
2,Cucumber,Pickling,22-03-23,25-05-23,64,20.7,19.5,22,81.9,980,26848,12.1,5,105,90,139,2.4,7,13.17
5,Lettuce,Leaf,30-07-23,14-09-23,46,16.9,15.2,19.5,72.8,704,35616,15.1,2.3,112,60,109,0,7.2,5.28
2,Cucumber,English,08-01-23,16-03-23,67,24,21.5,27.3,81.9,824,23423,10,4.6,152,91,128,0.5,6.3,14.45
2,Lettuce,Iceberg,14-01-23,03-03-23,48,20.5,17.4,23.3,82,806,11378,10,3.9,92,31,144,0,6.2,7.18
4,Tomato,Cherry,11-05-23,05-08-23,86,23.1,21.4,24.7,83.1,890,39479,15.1,5.3,186,55,165,4.4,7.1,19.99
3,Pepper,Jalapeno,15-05-23,17-08-23,94,26.9,25.3,28.4,69.5,871,42063,15.2,6,157,46,172,0,6.7,14.23
4,Tomato,Beefsteak,25-04-23,21-07-23,87,24.1,22.8,26.6,70.8,772,40235,14.3,8.2,240,72,212,2.5,7.4,12.67
3,Lettuce,Leaf,06-08-23,19-09-23,44,21,19.6,22.2,58.8,620,37923,14.8,5.1,90,58,143,1.5,6.9,11.36
5,Tomato,Cherry,23-01-23,22-04-23,89,26.6,25,28.8,67.9,944,16384,10,7.3,163,62,186,0.3,7.4,15.49
4,Lettuce,Romaine,15-10-23,15-11-23,31,18,16.7,21.1,69.3,748,23120,10.3,4.6,97,65,83,0.8,7.1,9.49
2,Lettuce,Butterhead,02-09-23,14-10-23,42,18.6,17.5,20.4,82.3,443,26941,13.2,4.1,98,35,122,3.4,6.9,9.13
1,Lettuce,Romaine,17-03-23,29-04-23,43,17.4,14.9,20.1,77.8,763,28950,11.7,3.8,104,48,122,4,5.4,9.08
2,Cucumber,Slicing,02-01-23,10-03-23,67,25,23.8,26.4,74.8,848,32054,10,6.7,149,45,176,0.7,6.9,13.12
2,Tomato,Cherry,21-02-23,12-05-23,80,24,21.4,25.4,65.3,967,31789,10.1,10,,,,0.8,6.7,19.03
4,Lettuce,Romaine,28-04-23,02-06-23,35,16.3,15.2,19.3,67.3,1090,34846,14.4,5.4,96,70,95,2.3,7.5,6.45
2,Tomato,Beefsteak,06-01-23,16-03-23,69,26.1,23.8,29.1,69.9,1040,25827,10,4.2,176,59,170,3.4,6.9,17.35
1,Lettuce,Iceberg,12-04-23,01-06-23,50,18.2,16.9,19.7,70,830,34387,13.5,3.7,145,61,147,0.8,6.5,9.29
4,Cucumber,Pickling,20-05-23,15-07-23,56,,,,,,,15.4,4,188,99,190,1,5.6,14.2
3,Tomato,Roma,09-05-23,23-07-23,75,26.2,24.5,28.5,70.6,704,40465,15,7.3,243,76,159,3.4,6.9,16.98
4,Pepper,Bell,28-02-23,04-06-23,96,23.3,21.2,25.1,67.6,958,26241,10.6,7.8,128,81,171,3.3,6.2,9.12
5,Tomato,Cherry,07-02-23,10-04-23,62,25,22.6,26.5,75.5,662,20062,10,7.6,217,104,221,0.1,6.6,13.99
2,Cucumber,Slicing,31-12-23,26-02-24,57,24.4,23.3,25.8,89.1,1098,14913,10,5.3,126,82,156,0.2,7.1,13.22
5,Tomato,Roma,03-07-23,06-09-23,65,24.5,22.8,26.8,73.1,623,36372,15.9,5.1,230,68,164,2.1,5.7,23.54
5,Pepper,Bell,31-08-23,12-11-23,73,26.6,25.3,27.7,63,646,35721,13.3,9.8,150,56,127,0.5,6.8,7.7
3,Lettuce,Romaine,25-03-23,03-05-23,39,17.2,14.6,18.9,64,830,20385,12.3,4.5,143,43,145,0,6.7,6.08
1,Tomato,Beefsteak,14-12-23,15-02-24,63,,,,,,,10,9,173,95,194,2.5,6.6,11.85
1,Lettuce,Leaf,27-06-23,28-07-23,31,15.3,12.5,17.3,68.7,743,38690,16,1,107,49,103,1.7,6.8,4.75
4,Tomato,Cherry,05-07-23,18-09-23,75,25,23.7,26.9,70.6,827,39074,15.9,6,160,103,241,0,6.9,21.08
4,Tomato,Beefsteak,09-06-23,01-09-23,84,25.6,24,26.7,58.5,722,43690,15.9,6.2,218,114,199,0.3,6.4,22.9
1,Tomato,Cherry,21-11-23,01-02-24,72,21.3,19.9,23.3,68.7,775,18129,10,5,232,108,198,2.1,,17.39
3,Cucumber,English,30-03-23,24-05-23,55,23.9,22,26.6,92.7,679,30728,12.6,4.6,179,85,176,3.6,6.8,16.74
2,Tomato,Beefsteak,23-12-23,27-02-24,66,28.9,25.9,32.4,77.3,635,11183,10,8,246,118,189,4.3,7.1,11.34
5,Tomato,Heirloom,19-11-23,05-02-24,78,28,27,29.2,84.4,838,21820,10,6,,,,2.3,7.3,17.6
3,Lettuce,Butterhead,16-04-23,31-05-23,45,15.5,12.5,17.7,69.8,793,27329,13.7,5.5,94,40,84,0.9,6.6,7.78
5,Cucumber,Slicing,02-06-23,29-07-23,58,23.7,22,27,72.9,997,40891,15.9,4.6,143,94,132,3.3,7.2,16.77
2,Cucumber,Slicing,22-10-23,13-12-23,52,23.5,21.9,24.7,69.7,803,33625,10,7.8,101,95,194,4.2,6.1,8.08
5,Cucumber,Slicing,06-01-23,12-03-23,65,24.2,21.4,25.4,79.1,778,15517,10,8.9,155,78,164,2.1,6.4,8.4
1,Tomato,Roma,02-03-23,30-05-23,89,19.5,17.9,21,78.4,773,28645,10.7,7.6,183,108,230,0.5,6.4,15.54
4,Lettuce,Butterhead,01-02-23,16-03-23,43,12.9,11.6,14.2,64,747,26638,10,5.1,112,31,103,4.7,6.6,8.08
3,Cucumber,English,05-07-23,29-08-23,55,21.9,20.4,23.5,76.4,735,35526,15.9,6.7,118,94,155,0,5.8,9.46
1,Tomato,Cherry,09-04-23,01-07-23,83,24.6,22.6,28.5,86.8,992,30568,13.3,6.2,,,,-0.1,7.2,18.11
2,Lettuce,Butterhead,09-01-23,20-02-23,42,16,14.5,17.9,67.2,868,19668,10,5.6,92,65,91,3.4,6.6,6.08
4,Tomato,Cherry,26-06-23,27-08-23,62,,,,,,,16,10.3,185,68,239,0.6,6.4,14.94
5,Lettuce,Iceberg,03-07-23,17-08-23,45,14.1,11.8,15.2,77.3,1027,30876,15.9,5.4,117,58,90,0,6.2,9.65
2,Tomato,Roma,23-01-23,20-04-23,87,27.8,26.6,30.3,75.7,807,20339,10,8.1,232,88,191,3.8,6.4,13.53
3,Cucumber,Slicing,29-04-23,25-06-23,57,22.8,20.1,25.5,83.8,850,39878,14.5,5.1,133,98,158,0.3,6.7,18.96
5,Tomato,Cherry,22-09-23,24-11-23,63,27.2,24.2,30.6,64.2,911,32795,11.8,8.7,213,107,215,1.3,6.9,11.29
2,Cucumber,Slicing,27-09-23,20-11-23,54,23.2,20.7,24.7,81.9,518,33864,11.5,5.1,177,91,191,1.4,6.1,14.74
1,Pepper,Bell,04-02-23,26-04-23,81,25.9,24.5,27.1,67.4,1101,26122,10,8.6,141,85,136,0.6,6.4,8.51
4,Tomato,Beefsteak,07-08-23,22-10-23,76,23.7,22.7,25.2,83.9,857,38371,14.7,7,,,,2.6,6.8,20.9
3,Lettuce,Romaine,10-12-23,28-01-24,49,19,17.3,20.9,76.2,893,19729,10,5.2,100,69,145,0,6.4,6.26
2,Tomato,Heirloom,19-09-23,24-11-23,66,22.6,20.7,24.2,60.2,804,35591,12,4.7,193,101,242,0.4,6.3,19.82
3,Cucumber,Slicing,07-01-23,09-03-23,61,24.7,22,26.4,84.4,492,24134,10,6.9,183,82,145,1.4,7.1,12.15
1,Tomato,Roma,25-08-23,26-10-23,62,20.6,19.6,21.9,79.5,902,34082,13.7,5.7,,,,2,6.6,19.74
1,Tomato,Beefsteak,02-06-23,19-08-23,78,23.8,22.3,25,76.7,671,39956,15.8,8.6,248,99,181,0.8,6.8,17.07
1,Lettuce,Butterhead,30-09-23,03-11-23,34,18.4,16.4,21.6,72,750,29806,11.3,5.7,94,59,99,3.1,6.6,11.37
4,Lettuce,Iceberg,25-02-23,12-04-23,46,,,,,,,10.4,3.5,118,49,96,4.4,6.9,7.99
5,Cucumber,Pickling,08-04-23,15-06-23,68,23.2,20.8,24.6,80.2,689,39820,13.2,7.2,111,67,182,4.2,6.7,16.1
1,Cucumber,English,19-05-23,27-07-23,69,24.6,21.7,27.4,72.1,796,36747,15.4,9.2,145,85,178,1.3,6.7,7.37
5,Lettuce,Butterhead,03-07-23,04-08-23,32,20.1,19,21.3,70.2,1054,33149,15.9,4.4,81,41,127,1.6,6.1,6.42
5,Pepper,Habanero,16-02-23,22-05-23,95,25.2,23.7,26.9,56.1,712,19786,10,8.6,125,68,169,3.5,6.2,8.04
3,Cucumber,English,06-02-23,07-04-23,60,26.2,24.5,27.4,80.4,782,20405,10,6.8,109,96,158,4.5,6.3,10.8
2,Tomato,Beefsteak,04-08-23,13-10-23,70,25.7,23.9,27,85.2,687,39201,14.9,7.1,186,79,221,3.6,6.5,17.47
2,Tomato,Cherry,07-07-23,22-09-23,77,24.3,21.4,27.2,70.7,979,38214,15.8,6,187,84,186,2,6.1,18.56
3,Lettuce,Butterhead,28-08-23,28-09-23,31,19.1,17.8,20.6,83.6,730,24742,13.5,6,129,42,109,1.1,6.6,10.61
4,Tomato,Heirloom,23-09-23,20-12-23,88,22.1,19.9,25.2,56.7,747,28383,11.8,6.7,202,76,156,3.6,6.9,16.83
4,Cucumber,Slicing,09-09-23,31-10-23,52,28.1,25.5,31.1,85,1177,34880,12.7,7,180,50,199,3.6,6.9,8.55
2,Lettuce,Butterhead,20-03-23,26-04-23,37,18.1,16.6,19.6,77.1,1116,31552,11.9,3.6,137,44,94,2.9,6.1,8.5
4,Tomato,Beefsteak,06-09-23,15-11-23,70,27.2,25.4,29.5,73.6,864,29320,12.9,6.5,218,99,164,0.7,5.9,18.19
1,Cucumber,Slicing,11-06-23,09-08-23,59,23.6,22.1,25.1,87.1,735,38125,15.9,10.2,100,45,133,1.3,6.2,10.6
3,Tomato,Roma,06-01-23,16-03-23,69,27.3,26.2,29.2,69.6,763,19143,10,8,247,64,228,0,6.5,13.11
2,Cucumber,Slicing,03-10-23,10-12-23,68,22.4,20.8,25.6,96.7,956,31220,11.1,7.7,194,42,159,0.8,6.6,11.89
4,Cucumber,English,22-12-23,22-02-24,62,22,20.9,23.3,83.6,602,16449,10,9.8,116,63,124,2.7,5.7,4.64
2,Tomato,Cherry,26-10-23,30-12-23,65,26.2,22.7,30,74.2,826,33099,10,9.7,153,104,250,3.6,7.1,12.58
1,Tomato,Heirloom,26-02-23,30-04-23,63,26,23.3,28.4,77.3,1062,21672,10.5,5.9,249,75,161,1.7,6.6,23.56
5,Tomato,Cherry,11-08-23,13-10-23,63,26.5,25.2,27.6,89.1,635,32325,14.5,6.7,204,98,180,2.4,6.5,19.66
1,Cucumber,Pickling,02-06-23,10-08-23,69,,,,,,,15.8,7.4,109,90,189,2,6.9,12.08
1,Tomato,Roma,12-08-23,28-10-23,77,23.4,20.9,26.9,71.1,903,39411,14.5,5.3,202,54,178,5,6.4,24.88
4,Tomato,Beefsteak,25-10-23,24-12-23,60,25.3,23.9,27.1,98.8,650,23462,10,6.9,,,,0.2,6.6,17.09
2,Tomato,Cherry,14-11-23,18-01-24,65,22.8,19.8,25.3,68,667,22611,10,7.1,,,,0,6.9,17.49
1,Cucumber,Slicing,14-07-23,12-09-23,60,24.3,21.2,27.6,79.3,1012,33058,15.7,6.6,192,92,148,0.2,6.7,18.42
4,Lettuce,Butterhead,18-02-23,07-04-23,48,18.9,16.2,21.7,61.7,831,23421,10,7.6,144,52,110,1.6,6.7,8.57
2,Tomato,Roma,13-09-23,18-11-23,66,24.4,21,27.1,83,808,29637,12.4,6.9,246,106,172,1.7,7.1,18.96
3,Lettuce,Leaf,27-05-23,26-06-23,30,16.5,14.9,18.2,59.7,919,35754,15.7,2.8,135,52,143,3.6,5.9,9.28
2,Tomato,Beefsteak,27-09-23,02-12-23,66,24.7,23.2,26.4,77.5,703,32760,11.5,7.9,163,103,166,1.7,6.8,17.7
1,Lettuce,Romaine,25-02-23,13-04-23,47,19.4,18.2,21.2,59.9,873,24355,10.4,8.6,115,39,144,1.6,7,6.08
3,Tomato,Roma,24-06-23,18-09-23,86,24.4,22.5,25.8,80.8,697,39774,16,5.6,,,,1.8,6.7,22.39
1,Pepper,Jalapeno,16-07-23,17-10-23,93,23,21.6,24.2,78.9,925,46430,15.6,5.7,125,75,142,0.8,7.4,12.09
4,Cucumber,English,07-03-23,28-04-23,52,21.9,20.7,24.8,100,654,29942,11,4.4,164,89,156,1.4,,15.4
3,Pepper,Habanero,20-04-23,16-07-23,87,24.5,21.6,26.4,61.3,738,34487,14,9,,,,1,7.1,12.57
3,Pepper,Bell,09-06-23,28-08-23,80,26.7,25.5,27.9,83.8,847,39581,15.9,7.9,174,69,199,1,7.6,10.66
5,Cucumber,Slicing,19-02-23,10-04-23,50,23.6,21.8,25.7,76.9,824,31116,10,6,187,97,171,0.9,6.3,16.14
4,Tomato,Beefsteak,16-05-23,13-08-23,89,22.5,21.4,25.3,68.5,715,40545,15.3,5.2,173,68,202,0.5,6.2,23.39
4,Cucumber,Pickling,04-12-23,06-02-24,64,,,,,,,10,8.8,146,59,144,0,5.9,11.45
2,Cucumber,Slicing,30-06-23,27-08-23,58,28.8,27.3,32.1,90,1012,46720,15.9,8.2,,,,0.7,6.8,10.31
1,Cucumber,Slicing,06-10-23,07-12-23,62,23.8,22.3,25.5,81.2,509,35239,10.9,7.3,125,86,147,3.3,6.4,10.26
5,Tomato,Roma,26-11-23,11-02-24,77,27.5,26.5,28.9,83.3,1044,22666,10,7.1,187,94,152,3.3,6.3,17.06
3,Cucumber,English,25-08-23,22-10-23,58,25.2,23.9,27.9,80.9,758,35843,13.7,7.3,192,75,191,0,5.7,15.89
5,Lettuce,Romaine,25-05-23,03-07-23,39,20.2,18.9,21.8,66,1043,32594,15.6,6,122,33,128,0,6.3,10.38
4,Cucumber,Slicing,10-04-23,12-06-23,63,26.9,25.6,28.8,89.1,856,29602,13.4,3.3,114,40,151,1.1,7.2,10.55
2,Cucumber,English,25-02-23,25-04-23,59,26.6,23.9,28.8,91.8,711,19644,10.4,11.1,,,,1.4,7.3,6.03
1,Tomato,Heirloom,28-07-23,02-10-23,66,23.9,22.2,25.7,80.4,1023,28986,15.2,8.5,165,100,193,4.4,6.8,12.67
1,Cucumber,Pickling,07-02-23,15-04-23,67,28.3,26,30.2,97.1,824,20651,10,9.7,167,88,190,0.6,6.2,7.95
2,Lettuce,Iceberg,06-06-23,08-07-23,32,22.7,21.6,23.8,72.3,856,38087,15.9,8.9,81,55,130,0.9,6.3,8.81
2,Cucumber,Slicing,02-06-23,29-07-23,57,24.1,21.2,27.7,70.5,891,36900,15.8,9.4,112,72,149,3.8,6.6,8.85
1,Cucumber,Pickling,08-12-23,13-02-24,67,22.1,20.2,23.6,90,788,18934,10,9.5,121,65,194,1.2,6.4,6.75
1,Tomato,Heirloom,22-10-23,12-01-24,82,22.4,20.5,23.9,70.7,1199,27548,10,6,156,71,163,4.7,6.3,15.54
3,Cucumber,Pickling,05-12-23,02-02-24,59,24.9,23.4,27,73.1,591,16720,10,8.2,186,71,175,0,6.1,9.58
4,Cucumber,Slicing,20-02-23,23-04-23,62,24.8,23.7,26.1,76.1,644,25948,10.1,6.5,166,96,122,1.6,6.7,11.09
5,Tomato,Roma,26-07-23,09-10-23,75,26.9,25.5,28.4,81.8,894,35416,15.3,7.6,187,72,219,1.8,6,20.41
5,Cucumber,Pickling,06-06-23,04-08-23,59,23.6,21.7,24.8,70.3,887,40456,15.9,8.7,149,92,174,0,6,11.47
3,Cucumber,English,16-09-23,06-11-23,51,21.8,20.4,24.4,99.1,721,30697,12.2,5.6,162,58,155,1.6,6.9,19.27
3,Tomato,Roma,23-07-23,24-09-23,63,22,21,23.8,71.2,869,47005,15.4,7.7,177,90,194,2.2,7.1,17.43
2,Cucumber,Pickling,13-06-23,19-08-23,67,23,19.9,23.9,73.1,789,43125,16,5.4,130,47,146,0,7.2,16.21
4,Cucumber,English,16-12-23,12-02-24,58,21.9,20.4,23.6,69,767,33463,10,8.6,129,77,173,1.4,7.7,10.32
2,Cucumber,Slicing,26-05-23,04-08-23,70,27.1,25.1,27.5,80.8,836,35822,15.5,8.1,129,71,188,0.6,6.2,11.62
5,Lettuce,Romaine,29-10-23,30-11-23,32,16.2,14.5,18.8,77.9,635,22942,10,6.2,106,48,143,0.7,6.5,8.65
2,Tomato,Cherry,30-08-23,23-11-23,85,22.6,19.5,25.8,84,907,29086,13.4,5.4,241,55,181,1.8,6.6,22.93
5,Tomato,Beefsteak,17-04-23,14-07-23,88,26.3,23.2,27.7,61.4,766,32618,13.8,7.2,198,72,240,3,6.4,20.35
1,Tomato,Roma,20-04-23,07-07-23,78,26.1,22.5,28.7,80.6,885,45616,14,7.1,162,55,176,0,5.6,21.38
3,Tomato,Cherry,31-10-23,03-01-24,64,22.4,21.2,24.4,82,886,18775,10,7.3,,,,2.3,5.8,13.33
2,Tomato,Beefsteak,01-02-23,14-04-23,72,25.8,24.4,27.1,73.2,960,10855,10,8.3,234,106,242,2,6.3,10.04
2,Tomato,Heirloom,27-02-23,19-05-23,81,24,22,25.4,73.8,609,22713,10.5,9.6,181,88,155,1.9,6.3,13.8
5,Pepper,Bell,21-03-23,06-06-23,77,26.4,22.7,30.1,77.8,520,30081,12,10.4,193,59,190,2,6.4,10.9
4,Lettuce,Romaine,03-01-23,02-02-23,30,19.1,17.1,20.9,72.5,810,13489,10,3.7,99,53,81,1.1,6.9,7.71
1,Tomato,Roma,23-02-23,16-05-23,82,23.5,22,25.6,79.9,803,22953,10.3,7.8,238,112,166,1.8,6.5,11.88
4,Tomato,Heirloom,09-09-23,28-11-23,80,25,21.5,26.7,82.1,1187,29455,12.7,9.8,165,59,188,1,7.1,10.32
2,Tomato,Cherry,23-08-23,07-11-23,76,22.6,20.3,24.9,67.2,849,31920,13.8,5.3,230,95,215,0,6.3,27.2
3,Lettuce,Romaine,01-08-23,11-09-23,41,19.6,17.1,22,77.5,823,31061,15,7.9,125,32,103,0,6.1,5.48
1,Lettuce,Leaf,17-07-23,24-08-23,38,18.5,15.4,20,72.6,609,43217,15.6,6.6,147,35,90,0,6.7,8.76
3,Tomato,Cherry,07-09-23,29-11-23,83,25.6,24.4,27.1,76.1,792,34566,12.9,10.4,185,82,191,0.6,7,13.91
4,Tomato,Beefsteak,18-05-23,08-08-23,82,23.5,21.4,24.6,82.4,929,41291,15.4,6.9,207,91,215,3.9,6.8,18.53
2,Lettuce,Butterhead,27-06-23,07-08-23,41,20.2,18,21.6,74.1,832,44892,16,7.6,86,43,140,3.2,6.5,5.03
4,Lettuce,Butterhead,23-07-23,28-08-23,36,,,,,,,15.4,8.5,101,66,147,3.2,6.6,6.1
4,Lettuce,Leaf,25-01-23,15-03-23,49,16.4,13.8,17.5,71.5,858,21892,10,4.4,123,35,100,2,6.3,7.57
5,Tomato,Beefsteak,07-08-23,01-11-23,86,23,21.9,25.1,77,707,34100,14.7,6.4,180,63,185,0,6.3,21.83
4,Lettuce,Butterhead,11-01-23,17-02-23,37,18.5,15.1,20.1,60.1,674,16165,10,6.2,84,51,134,3,6.2,6.66
3,Lettuce,Butterhead,01-06-23,05-07-23,34,21.3,19.8,22.4,69.4,666,38876,15.8,4.6,,,,1.3,5.9,10.39
4,Cucumber,English,02-06-23,24-07-23,52,26.8,25.5,29.1,69.3,733,34876,15.8,9.6,173,56,124,3.8,7.1,11.65
4,Pepper,Habanero,16-11-23,22-02-24,98,21.9,20.1,25,76.8,1198,19191,10,10.1,135,55,130,1,6.8,6.86
